City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
351,beinamar,8.6698,15.3813,34.1,29,98,2.84,TD,1681932600
352,aykhal,66.0,111.5,-15.82,100,100,2.29,RU,1681932466
353,magadan,59.5667,150.8,-3.68,75,100,4.68,RU,1681932600
354,bikenibeu village,1.3673,173.1241,27.98,83,20,1.54,KI,1681932447
355,soio,-6.1349,12.3689,27.25,90,95,3.63,AO,1681932600
356,puerto carreno,6.189,-67.4859,36.07,31,99,1.35,CO,1681932601
357,molochnoye,59.2917,39.6787,5.04,76,70,2.61,RU,1681932601
358,thames,-37.1333,175.5333,18.28,92,90,1.47,NZ,1681932602
359,pleasanton,37.6624,-121.8747,16.47,49,0,3.6,US,1681932403
360,lata,40.1629,-8.3327,16.15,63,11,2.06,PT,1681932410
361,kudahuvadhoo,2.6708,72.8944,28.67,70,100,0.68,MV,1681932433
362,nago,26.5881,127.9761,23.47,89,100,7.19,JP,1681932606
